option_name, underlying_price, strike_price, expiration_time, interest_rate, volatility, current_price
AAPL_option_5_C, 120, 130, 1, 0.05, 0.2, 8.9
AAPL_option_6_P, 120, 110, 1, 0.05, 0.2, 6.2
MSFT_option_5_C, 170, 180, 0.5, 0.03, 0.25, 8.1
MSFT_option_6_P, 170, 160, 0.5, 0.03, 0.25, 6.4
AMZN_option_5_C, 3300, 3400, 1, 0.01, 0.3, 65.4
AMZN_option_6_P, 3300, 3200, 1, 0.01, 0.3, 45.8
GOOG_option_5_C, 1500, 1600, 0.75, 0.02, 0.15, 18.5
GOOG_option_6_P, 1500, 1400, 0.75, 0.02, 0.15, 12.8
FB_option_5_C, 350, 360, 0.25, 0.05, 0.18, 8.7
FB_option_6_P, 350, 340, 0.25, 0.05, 0.18, 6.3
TSLA_option_5_C, 400, 500, 0.75, 0.04, 0.35, 31.2
TSLA_option_6_P, 400, 300, 0.75, 0.04, 0.35, 25.6
NFLX_option_5_C, 600, 650, 0.5, 0.03, 0.22, 21.4
NFLX_option_6_P, 600, 550, 0.5, 0.03, 0.22, 17.8
JPM_option_5_C, 140, 150, 0.5, 0.01, 0.12, 4.1
JPM_option_6_P, 140, 130, 0.5, 0.01, 0.12, 3.4
WMT_option_5_C, 150, 160, 1, 0.02, 0.1, 4.8
WMT_option_6_P, 150, 140, 1, 0.02, 0.1, 3.3
PG_option_5_C, 170, 180, 0.75, 0.05, 0.08, 3.9
PG_option_6_P, 170, 160, 0.75, 0.05, 0.08, 2.8
KO_option_5_C, 65, 70, 1.5, 0.01, 0.1, 1.9
KO_option_6_P, 65, 80, 2, 0.02, 0.3, 3
MCD_option_5_C,250,260,0.25,0.05,0.15,6.7
MCD_option_6_P,250,240,0.25,0.05,0.15,4.9
IBM_option_1_C,140,150,0.5,0.02,0.2,7.5
IBM_option_2_P,140,130,0.5,0.02,0.2,5.2
AAPL_option_7_C,110,120,1.5,0.01,0.15,5.6
AAPL_option_8_P,110,100,1.5,0.01,0.15,4.2
AAPL_option_13_P,120,130,0.5,0.03,0.2,6.8
AAPL_option_14_C,120,110,0.5,0.03,0.2,4.6
MSFT_option_12_P,165,170,0.75,0.02,0.25,8.4
MSFT_option_13_C,165,160,0.75,0.02,0.25,6.8
AMZN_option_9_P,3000,3100,1,0.01,0.35,72.1
AMZN_option_10_C,3000,2900,1,0.01,0.35,50.6
GOOG_option_9_P,1600,1700,0.25,0.01,0.18,19.3
GOOG_option_10_C,1600,1500,0.25,0.01,0.18,13.7
FB_option_9_P,320,330,0.5,0.02,0.19,7.9
FB_option_10_C,320,310,0.5,0.02,0.19,5.8
TSLA_option_9_P,550,600,0.75,0.05,0.35,37.1
TSLA_option_10_P,550,500,0.75,0.05,0.35,30.2
NFLX_option_9_C,625,650,1,0.03,0.24,21.5
NFLX_option_10_P,625,600,1,0.03,0.24,18.2
JPM_option_9_P,140,150,0.5,0.02,0.12,5.1
JPM_option_10_C,140,130,0.5,0.02,0.12,3.9
WMT_option_9_C,145,150,0.25,0.01,0.09,2.9
WMT_option_10_P,145,140,0.25,0.01,0.09,2.1
PG_option_9_C,170,180,0.75,0.04,0.08,3.3
PG_option_10_C,170,160,0.75,0.04,0.08,2.4
KO_option_9_P,65,70,1,0.02,0.12,2.3
KO_option_10_C,65,60,1,0.02,0.12,1.6
MCD_option_9_P,240,250,0.5,0.05,0.16,7.2
MCD_option_10_C,240,230,0.5,0.05,0.16,5.3
IBM_option_5_P,150,160,0.5,0.02,0.15,5.8
IBM_option_6_C,150,140,0.5,0.02,0.15,4.2
NFLX_option_11_C,670,700,1,0.05,0.3,22.7
NFLX_option_12_P,670,640,1,0.05,0.3,18.8
TSLA_option_11_P,600,700,0.25,0.02,0.25,36.1
TSLA_option_12_P,600,500,0.25,0.02,0.25,28.5
GOOG_option_11_C,1700,1800,0.5,0.01,0.15,20.8
GOOG_option_12_P,1700,1600,0.5,0.01,0.15,14.9
AAPL_option_16_C,140,150,0.75,0.03,0.22,8.3
AAPL_option_17_P,140,130,0.75,0.03,0.22,6.2
MSFT_option_14_C,190,200,0.25,0.01,0.25,7.4
MSFT_option_15_C,190,180,0.25,0.01,0.25,5.9
AMZN_option_11_P,2900,3000,1.5,0.01,0.35,73.8
AMZN_option_12_P,2900,2800,1.5,0.01,0.35,52.5
FB_option_11_C,350,360,0.5,0.04,0.18,8.6
FB_option_12_C,350,340,0.5,0.04,0.18,6.7
JPM_option_11_P,150,160,0.25,0.01,0.12,4.9
JPM_option_12_C,150,140,0.25,0.01,0.12,3.8
WMT_option_11_P,155,160,0.75,0.03,0.1,4.4
WMT_option_12_C,155,150,0.75,0.03,0.1,3.1
PG_option_11_P,180,190,1,0.02,0.09,3.5
PG_option_12_C,180,170,1,0.02,0.09,2.6
KO_option_11_P,70,80,0.5,0.01,0.1,2.5
KO_option_12_C,70,60,0.5,0.01,0.1,1.7
MCD_option_11_C,250,260,0.75,0.05,0.16,7.6
MCD_option_12_P,250,240,0.75,0.05,0.16,5.9
IBM_option_7_P,160,170,1,0.01,0.15,6.7
IBM_option_8_P,160,150,1,0.01,0.15,4.7
AAPL_option_18_C,150,160,1.5,0.04,0.25,8.5
AAPL_option_19_C,150,140,1.5,0.04,0.25,5.9
